"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","191","PUT /booking","chromium","2026-07-01","passed","2026-07-01","PUT API Tests","practice1/api.spec.ts","",""
"","160","GET /getAllBooking","chromium","2026-07-01","passed","2026-07-01","GET API Tests","practice1/api.spec.ts","",""
"","30","delete booking with invalid token","chromium","2026-07-01","passed","2026-07-01","NEGATIVE API Tests","practice1/api.spec.ts","",""
"","73","GET /get booking by name","chromium","2026-07-01","passed","2026-07-01","GET API Tests","practice1/api.spec.ts","",""
"","86","update booking with invalid name","chromium","2026-07-01","passed","2026-07-01","NEGATIVE API Tests","practice1/api.spec.ts","",""
"","261","GET /ping","chromium","2026-07-01","passed","2026-07-01","GET API Tests","practice1/api.spec.ts","",""
"","279","POST /booking","chromium","2026-07-01","passed","2026-07-01","POST API Tests","practice1/api.spec.ts","",""
"","256","DELETE /booking","chromium","2026-07-01","passed","2026-07-01","DELETE API Tests","practice1/api.spec.ts","",""
"","79","delete booking with invalid id","chromium","2026-07-01","passed","2026-07-01","NEGATIVE API Tests","practice1/api.spec.ts","",""
"","15","seed auth token generation","chromium","2026-07-01","passed","2026-07-01","Test group","seed.spec.ts","",""
"","21","update booking with invalid token","chromium","2026-07-01","passed","2026-07-01","NEGATIVE API Tests","practice1/api.spec.ts","",""
