"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","617","Test the sign up functionality, with api validation at the end","chromium","2026-07-03","passed","2026-07-03","UI Sign Up and Login Tests","practice2/ui.spec.ts","",""
"","124","DELETE /booking","chromium","2026-07-03","passed","2026-07-03","DELETE API Tests","practice1/api.spec.ts","",""
"","110","GET /ping","chromium","2026-07-03","passed","2026-07-03","GET API Tests","practice1/api.spec.ts","",""
"","84","update booking with invalid name","chromium","2026-07-03","passed","2026-07-03","NEGATIVE API Tests","practice1/api.spec.ts","",""
"","3943","Setup for the auth tests","setup","2026-07-03","passed","2026-07-03","","practice2/auth.setup.spec.ts","",""
"","125","update booking with invalid token","chromium","2026-07-03","passed","2026-07-03","NEGATIVE API Tests","practice1/api.spec.ts","",""
"","318","PUT /booking","chromium","2026-07-03","passed","2026-07-03","PUT API Tests","practice1/api.spec.ts","",""
"","3695","Setup for the auth tests","chromium","2026-07-03","passed","2026-07-03","","practice2/auth.setup.spec.ts","",""
"","31","GET /get booking by name","chromium","2026-07-03","passed","2026-07-03","GET API Tests","practice1/api.spec.ts","",""
"","19","POST /booking","chromium","2026-07-03","passed","2026-07-03","POST API Tests","practice1/api.spec.ts","",""
"","28","delete booking with invalid token","chromium","2026-07-03","passed","2026-07-03","NEGATIVE API Tests","practice1/api.spec.ts","",""
"","34","GET /getAllBooking","chromium","2026-07-03","passed","2026-07-03","GET API Tests","practice1/api.spec.ts","",""
"","41","delete booking with invalid id","chromium","2026-07-03","passed","2026-07-03","NEGATIVE API Tests","practice1/api.spec.ts","",""
"","140","seed auth token generation","chromium","2026-07-03","passed","2026-07-03","Test group","seed.spec.ts","",""
